id,true_label,seed_a,seed_b,label_seed_a,label_seed_b,agreement_seed_a,agreement_seed_b,same_label,defer_seed_a,defer_seed_b
0,TOXIC,7,13,TOXIC,TOXIC,1.0,1.0,True,False,False
1,NON_TOXIC,7,13,NON_TOXIC,NON_TOXIC,1.0,1.0,True,False,False
2,NON_TOXIC,7,13,NON_TOXIC,NON_TOXIC,1.0,1.0,True,False,False
3,TOXIC,7,13,TOXIC,TOXIC,1.0,1.0,True,False,False
4,TOXIC,7,13,TOXIC,TOXIC,1.0,1.0,True,False,False
5,TOXIC,7,13,DEFER,DEFER,1.0,0.6666666666666666,True,True,True
6,TOXIC,7,13,TOXIC,DEFER,1.0,0.6666666666666666,False,False,True
7,TOXIC,7,13,TOXIC,TOXIC,1.0,1.0,True,False,False
8,TOXIC,7,13,DEFER,DEFER,1.0,0.6666666666666666,True,True,True
9,TOXIC,7,13,NON_TOXIC,NON_TOXIC,1.0,1.0,True,False,False
10,TOXIC,7,13,TOXIC,TOXIC,1.0,1.0,True,False,False
11,TOXIC,7,13,TOXIC,TOXIC,1.0,1.0,True,False,False
12,TOXIC,7,13,NON_TOXIC,DEFER,1.0,0.6666666666666666,False,False,True
13,TOXIC,7,13,DEFER,DEFER,1.0,1.0,True,True,True
14,NON_TOXIC,7,13,NON_TOXIC,NON_TOXIC,1.0,1.0,True,False,False
15,NON_TOXIC,7,13,DEFER,DEFER,1.0,0.6666666666666666,True,True,True
16,TOXIC,7,13,DEFER,DEFER,0.6666666666666666,0.6666666666666666,True,True,True
17,NON_TOXIC,7,13,NON_TOXIC,NON_TOXIC,1.0,1.0,True,False,False
18,TOXIC,7,13,TOXIC,TOXIC,1.0,1.0,True,False,False
19,TOXIC,7,13,DEFER,DEFER,1.0,1.0,True,True,True
